"","metric","AIM","CC-FM","CC-FSPR","DLM","Ensemble","ES-FM","ES-Frecent","ES-FSPR","ES-Fstable","Islope","Itarget","PlanB","Skate"
"1","ssb_l_avg_ssb_ssbmsy",2,12,13,11,6,4,9,5,3,8,7,10,1
"2","ssb_l_is_ge_bmsy",4,12,13,11,6,2,8,3,5,7,9,10,1
"3","ssb_l_is_less_01_bmsy",5,11,12,13,4,3,9,2,6,8,7,10,1
"4","ssb_l_is_less_05_bmsy",4,10,11,13,5,6,9,7,3,8,2,12,1
"5","ssb_l_n_ge_bmsy",2,12,13,11,6,4,9,5,3,8,7,10,1
"6","ssb_l_n_less_01_bmsy",6,11,13,12,4,2,8,3,7,5,10,9,1
"7","ssb_l_n_less_05_bmsy",4,11,12,13,6,2,9,3,5,8,7,10,1
"8","ssb_s_avg_ssb_ssbmsy",2,12,13,10,6,4,9,5,3,8,7,11,1
"9","ssb_s_is_ge_bmsy",2,13,12,11,6,4,8,5,3,7,9,10,1
"10","ssb_s_is_less_01_bmsy",3,9,11,13,7,4,10,5,2,8,6,12,1
"11","ssb_s_is_less_05_bmsy",3,9,10,12,7,5,11,4,2,8,6,13,1
"12","ssb_s_n_ge_bmsy",3,12,13,10,6,5,9,4,2,8,7,11,1
"13","ssb_s_n_less_01_bmsy",3,9,11,13,7,4,10,5,2,8,6,12,1
"14","ssb_s_n_less_05_bmsy",2,10,11,12,7,4,9,5,3,8,6,13,1
"15","f_l_avg_f_fmsy",5,11,12,13,4,2,9,3,6,7,8,10,1
"16","f_l_is_gr_f_dot_1_bmsy",6,10,11,13,7,3,9,4,5,8,2,12,1
"17","f_l_is_gr_f_dot_5_bmsy",4,11,10,13,5,7,9,6,3,8,2,12,1
"18","f_l_is_gr_fmsy",3,11,10,13,7,4,9,5,2,8,6,12,1
"19","f_l_is_less_f_dot_1_bmsy",9,11,12,8,5,2,6,3,10,4,13,7,1
"20","f_l_is_less_f_dot_5_bmsy",8,11,12,10,5,2,6,3,9,4,13,7,1
"21","f_l_is_less_fmsy",6,11,12,10,5,2,8,3,7,4,13,9,1
"22","f_l_n_gr_f_dot_1_bmsy",7,11,12,13,4,2,9,3,8,5,6,10,1
"23","f_l_n_gr_f_dot_5_bmsy",5,11,12,13,4,2,9,3,6,7,8,10,1
"24","f_l_n_gr_fmsy",2,11,12,13,6,3,9,4,5,7,8,10,1
"25","f_l_n_less_f_dot_1_bmsy",7,11,12,13,4,2,9,3,8,5,6,10,1
"26","f_l_n_less_f_dot_5_bmsy",5,11,12,13,4,2,9,3,6,7,8,10,1
"27","f_l_n_less_fmsy",2,11,12,13,6,3,9,4,5,7,8,10,1
"28","f_s_avg_f_fmsy",2,10,11,12,7,4,9,5,3,8,6,13,1
"29","f_s_is_gr_f_dot_1_bmsy",3,9,10,12,7,4,11,5,2,8,6,13,1
"30","f_s_is_gr_f_dot_5_bmsy",3,12,13,10,6,5,9,4,2,8,7,11,1
"31","f_s_is_gr_fmsy",2,12,13,10,4,6,8,5,3,7,9,11,1
"32","f_s_is_less_f_dot_1_bmsy",3,8,9,12,7,4,11,5,2,10,6,13,1
"33","f_s_is_less_f_dot_5_bmsy",2,10,11,12,7,4,9,5,3,8,6,13,1
"34","f_s_is_less_fmsy",2,13,12,11,6,4,9,5,3,8,7,10,1
"35","f_s_n_gr_f_dot_1_bmsy",3,9,10,12,7,4,11,5,2,8,6,13,1
"36","f_s_n_gr_f_dot_5_bmsy",3,11,13,10,6,4,9,5,2,8,7,12,1
"37","f_s_n_gr_fmsy",2,12,13,11,6,5,9,4,3,7,8,10,1
"38","f_s_n_less_f_dot_1_bmsy",3,9,10,12,7,4,11,5,2,8,6,13,1
"39","f_s_n_less_f_dot_5_bmsy",3,11,13,10,6,4,9,5,2,8,7,12,1
"40","f_s_n_less_fmsy",2,12,13,11,6,5,9,4,3,7,8,10,1
"41","catch_l_avg_catch",11,6,7,1,10,8,3,9,12,4,13,2,5
"42","catch_l_avg_catch_msy",11,4,5,1,8,9,3,10,12,6,13,2,7
"43","catch_l_iav_catch",6,2,3,4,10,7,11,8,5,13,1,12,9
"44","catch_l_prop_g_msy_2_of_3",2,12,11,13,4,5,9,6,1,8,3,10,7
"45","catch_l_sd_catch",3,4,5,10,6,8,11,7,2,12,1,13,9
"46","catch_s_avg_catch",12,1,2,3,8,9,5,10,11,6,7,4,13
"47","catch_s_avg_catch_msy",12,2,1,3,8,9,5,10,11,6,7,4,13
"48","catch_s_sd_catch",3,8,9,11,7,4,10,5,2,13,6,12,1
